"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 2 - complejo - random walker.nlogo"
"complex_experiment_100"
"09/23/2024 10:38:20:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","1055","10","18"
"1","1056","10","18"
"1","1057","9","18"
"1","1058","9","18"
"1","1059","10","18"
"1","1060","9","17"
"1","1061","9","17"
"1","1062","9","17"
"1","1063","9","17"
"1","1064","9","17"
"1","1065","9","17"
"1","1066","9","17"
"1","1067","9","17"
"1","1068","8","17"
"1","1069","8","17"
"1","1070","9","17"
"1","1071","8","17"
"1","1072","8","17"
"1","1073","8","17"
"1","1074","8","17"
"1","1075","8","17"
"1","1076","8","17"
"1","1077","8","17"
"1","1078","8","17"
"1","1079","8","18"
"1","1080","8","18"
"1","1081","9","18"
"1","1082","8","18"
"1","1083","9","18"
"1","1084","9","18"
"1","1085","8","18"
"1","1086","9","18"
"1","1087","9","18"
"1","1088","9","18"
"1","1089","9","18"
"1","1090","9","18"
"1","1091","9","18"
"1","1092","9","18"
"1","1093","9","18"
"1","1094","9","18"
"1","1095","9","18"
"1","1096","9","18"
"1","1097","9","18"
"1","1098","9","19"
"1","1099","9","19"
"1","1100","9","18"
"1","1101","8","18"
"1","1102","8","18"
"1","1103","8","19"
"1","1104","8","18"
"1","1105","8","18"
"1","1106","8","18"
"1","1107","8","18"
"1","1108","8","18"
"1","1109","8","18"
"1","1110","8","18"
"1","1111","8","18"
"1","1112","8","18"
"1","1113","8","18"
"1","1114","8","18"
"1","1115","8","18"
"1","1116","8","18"
"1","1117","8","18"
"1","1118","8","18"
"1","1119","8","18"
"1","1120","8","18"
"1","1121","7","18"
"1","1122","7","18"
"1","1123","7","18"
"1","1124","7","18"
"1","1125","7","18"
"1","1126","7","18"
"1","1127","7","18"
"1","1128","7","18"
"1","1129","8","18"
"1","1130","8","18"
"1","1131","7","18"
"1","1132","7","18"
"1","1133","7","18"
"1","1134","7","18"
"1","1135","7","18"
"1","1136","7","18"
"1","1137","7","18"
"1","1138","7","18"
"1","1139","7","18"
"1","1140","7","18"
"1","1141","7","18"
"1","1142","7","18"
"1","1143","7","18"
"1","1144","7","18"
"1","1145","8","18"
"1","1146","8","18"
"1","1147","8","18"
"1","1148","8","17"
"1","1149","8","17"
"1","1150","7","17"
"1","1151","8","17"
"1","1152","8","17"
"1","1153","8","17"
"1","1154","8","17"
"1","1155","8","17"
"1","1156","8","17"
"1","1157","8","17"
"1","1158","8","17"
"1","1159","8","17"
"1","1160","8","17"
"1","1161","8","18"
"1","1162","8","18"
"1","1163","8","17"
"1","1164","8","17"
"1","1165","8","17"
"1","1166","8","17"
"1","1167","8","17"
"1","1168","8","17"
"1","1169","8","17"
"1","1170","8","17"
"1","1171","8","18"
"1","1172","8","18"
"1","1173","8","18"
"1","1174","8","18"
"1","1175","8","18"
"1","1176","8","18"
"1","1177","8","17"
"1","1178","8","17"
"1","1179","8","18"
"1","1180","8","17"
"1","1181","9","17"
"1","1182","9","17"
"1","1183","9","17"
"1","1184","9","17"
"1","1185","9","17"
"1","1186","9","17"
"1","1187","9","17"
"1","1188","9","17"
"1","1189","9","17"
"1","1190","9","17"
"1","1191","9","17"
"1","1192","9","17"
"1","1193","10","17"
"1","1194","10","17"
"1","1195","10","17"
"1","1196","10","17"
"1","1197","10","16"
"1","1198","10","16"
"1","1199","10","17"
"1","1200","10","17"
"1","1201","9","17"
"1","1202","9","17"
"1","1203","10","17"
"1","1204","10","17"
"1","1205","10","17"
"1","1206","10","17"
"1","1207","10","17"
"1","1208","10","17"
"1","1209","10","17"
"1","1210","10","17"
"1","1211","10","17"
"1","1212","10","17"
"1","1213","10","17"
"1","1214","10","17"
"1","1215","10","17"
"1","1216","10","17"
"1","1217","11","17"
"1","1218","10","17"
"1","1219","10","17"
"1","1220","10","17"
"1","1221","10","17"
"1","1222","10","17"
"1","1223","10","17"
"1","1224","10","17"
"1","1225","10","17"
"1","1226","10","17"
"1","1227","10","17"
"1","1228","10","17"
"1","1229","10","17"
"1","1230","10","17"
"1","1231","10","17"
"1","1232","10","17"
"1","1233","10","17"
"1","1234","10","16"
"1","1235","10","16"
"1","1236","10","16"
"1","1237","10","16"
"1","1238","10","16"
"1","1239","10","16"
"1","1240","10","16"
"1","1241","10","16"
"1","1242","10","16"
"1","1243","10","16"
"1","1244","10","16"
"1","1245","10","16"
"1","1246","10","16"
"1","1247","10","15"
